amfi_code,rolling_sharpe,risk_grade
119551,2.9722350513305154,Low
149322,-1.058034719463166,High
119093,1.338173492464452,Moderate
119092,-1.7152055163641473,High
118636,0.8169964510265553,High
118635,-0.3650867953198556,High
118634,2.934098025808378,Low
118633,1.8997118217119424,Moderate
118632,2.6505235791942376,Low
119094,0.7393930323555113,High
102887,-0.6103355779240979,High
102885,1.3563835538877047,Moderate
101208,13.952418146504588,Low
101207,-2.1119164158394548,High
101206,4.438113775255866,Low
100033,2.057497120801245,Low
100025,-0.7914405452263727,High
100016,-1.2157382218128714,High
102886,-1.4435167226902792,High
149323,1.1458638867424582,Moderate
119095,-2.0998816081411755,High
119552,0.6103844146263386,High
148569,4.30722873150122,Low
148568,0.5650951720901394,High
148567,0.37589331259284364,High
125498,2.9500215400154017,Low
125497,2.159343472803809,Low
120844,14.144869008048502,Low
120843,-0.2456600670883367,High
119120,-0.5758181862072388,High
120842,3.0586646480346804,Low
120507,14.584281933092893,Low
120506,1.4434430336780115,Moderate
120505,2.5605138169975112,Low
120504,-0.5126327587002838,High
120503,2.0236152330038135,Low
119599,2.236419338155622,Low
119598,2.011032759661858,Low
120841,2.167518120865084,Low
149324,1.262776350748898,Moderate
