amfi_code,HHI,portfolio_type
119092,0.20644766999999994,Highly Concentrated
101207,0.20070043,Highly Concentrated
119599,0.17475095999999998,Moderately Concentrated
102885,0.17470902,Moderately Concentrated
118632,0.1682982,Moderately Concentrated
148568,0.16792973,Moderately Concentrated
120505,0.15757036000000002,Moderately Concentrated
120506,0.1537936,Moderately Concentrated
125498,0.15241398,Moderately Concentrated
120841,0.14968035000000002,Moderately Concentrated
148569,0.14939642,Moderately Concentrated
100033,0.14759225999999998,Moderately Concentrated
149323,0.14162096000000002,Moderately Concentrated
120503,0.14087026,Moderately Concentrated
100016,0.13953386,Moderately Concentrated
148567,0.13858416999999998,Moderately Concentrated
125497,0.13658554,Moderately Concentrated
119094,0.13640591000000002,Moderately Concentrated
118635,0.13594415,Moderately Concentrated
149322,0.13439797,Moderately Concentrated
119093,0.13089424,Moderately Concentrated
102887,0.12980494999999997,Moderately Concentrated
101206,0.12933173,Moderately Concentrated
120843,0.12868306000000002,Moderately Concentrated
120842,0.12743880999999999,Moderately Concentrated
118633,0.12146086,Moderately Concentrated
119551,0.11871551999999999,Diversified
149324,0.11867710000000001,Diversified
102886,0.11469284,Diversified
119095,0.10960535000000002,Diversified
120504,0.10867415000000001,Diversified
118634,0.10835772,Diversified
119552,0.10801068999999998,Diversified
119598,0.10734895,Diversified
